adres_id,ulica,nr_budynku,nr_mieszkania,kod_pocztowy,miasto
1,Talmadge,105,33,380318,Pantijan No 2
2,Duke,640,10,766148,Nogueira
3,Maple Wood,317,17,424739,Quinuabamba
4,Hansons,578,49,410717,Lendan
5,Killdeer,14,40,636885,Shizi
6,Golf View,314,51,338826,Trstenik
7,Dryden,156,45,567805,Paseh
8,Westend,496,1,659617,Yongping
9,Westport,317,68,419372,Gamut
10,Magdeline,751,57,186302,Lavia
11,Red Cloud,308,73,334288,Kuala Lumpur
12,Waxwing,205,87,299005,Tahilt
13,Dakota,240,100,637368,Ngulakan
14,Emmet,1,19,245875,Pasanggrahan
15,Westend,373,52,457733,Yinkeng
16,Harper,655,87,698952,Wincrange
17,Muir,214,93,907876,Ribeirópolis
18,Lunder,265,43,654608,San Francisco
19,Schlimgen,705,9,861327,Shanghudi
20,Warrior,401,69,416054,Skoútari
21,Derek,513,75,608763,Pringgabaya
22,Fieldstone,744,54,288252,Xucheng
23,Bartelt,684,42,867348,Kresek
24,Linden,584,1,215750,Bantian
25,Declaration,151,47,853322,Julun
26,Carberry,48,71,821827,Lorient
27,Heath,539,75,771270,La Unión
28,Maple,128,51,777706,Cova Figueira
29,Duke,302,45,423028,Hājīganj
30,Mockingbird,245,100,456322,Legen
31,Thompson,437,7,401292,Buenos Aires
32,Stoughton,608,36,924252,Bayt Liqyā
33,Nova,638,15,591061,Jiquinlaca
34,Lukken,652,95,437828,Kut Rang
35,Kinsman,509,70,557546,Morong
36,8th,227,68,379011,Sade
37,Victoria,669,70,494540,Simpang
38,Dixon,497,71,679535,Siguiri
39,Brickson Park,321,3,230992,Dhahab
40,Division,250,60,477136,San Cristóbal Verapaz
41,Meadow Ridge,700,17,281478,Nikinci
42,Vermont,45,49,793016,Skopin
43,Shasta,401,40,403306,Doropeti
44,School,205,54,412278,San Juan de Planes
45,Waywood,321,51,570239,Xuezhen
46,Badeau,759,61,296651,Vyšší Brod
47,Springs,664,65,705589,Strömsnäsbruk
48,Sachs,298,29,258740,El Mirador
49,Bashford,135,28,191477,Jingling
50,Talmadge,324,56,844184,Kolumbug
51,Barnett,769,7,834262,Jiujie
52,Susan,383,33,591054,Mweka
53,Namekagon,490,11,175135,Fubin
54,Hazelcrest,168,26,701663,Agusan
55,Sullivan,383,26,594937,Dzerzhinsk
56,Havey,194,39,901101,Stenungsund
57,Homewood,628,73,829541,Makamba
58,Linden,286,72,271397,Ilyich
59,Golf,180,4,149491,Shypyntsi
60,Ridge Oak,434,26,285731,Puor
61,Mesta,532,3,155209,Fuqiang
62,Colorado,546,21,569496,Czarna Białostocka
63,Sunnyside,49,23,862651,Zhaocun
64,American Ash,324,65,969452,Rancasadang
65,Fairfield,645,88,713973,Dahongmen
66,Comanche,273,26,169422,Chicama
67,7th,356,79,282262,Mólos
68,Hudson,480,78,389177,Fuwah
69,Waxwing,704,16,356464,Niedercorn
70,Vernon,607,25,923690,Liangdong
71,Arrowood,249,91,237579,Göteborg
72,Eagan,340,11,214803,Tucson
73,5th,51,77,422771,Awat
74,Emmet,21,56,696533,Saint-Priest
75,Lawn,667,79,369254,Ketanen
76,Badeau,31,73,477073,Ribeirão das Neves
77,Morningstar,648,56,269968,Tucumã
78,Jenifer,308,14,615906,Kamensk-Shakhtinskiy
79,Dovetail,117,41,935971,Moshkovo
80,Vera,74,56,128601,San Lorenzo
81,Erie,602,66,280696,Nizhyn
82,Almo,146,62,460682,Tsurib
83,Killdeer,189,67,875275,Dallas
84,Almo,276,89,702202,Progër
85,Rutledge,344,65,796803,Ábidos
86,Dixon,20,27,947351,Bordeaux
87,Charing Cross,519,6,985682,Nanterre
88,Jenna,732,71,876093,Brniště
89,Heath,654,11,864406,Sierakowice
90,Vermont,27,32,829217,Radashkovichy
91,School,46,39,922281,Kudang
92,Sunbrook,276,66,885377,Gulbene
93,Fuller,8,74,644547,Agrelo
94,Anzinger,12,73,476226,Astana
95,Redwing,649,91,264942,Baitouli
96,Colorado,580,64,973643,Mayanhe
97,Glendale,141,81,508667,Osan
98,Westerfield,675,76,591446,Dahao
99,Crescent Oaks,221,66,946486,Fengyang
100,Buell,460,85,690605,Quintã
101,Arapahoe,323,59,832641,Tatou
102,Fuller,277,48,647427,Pran Buri
103,Dayton,448,95,954916,Laocheng
104,Golf,244,88,193212,Siborong-borong
105,Corry,763,1,347500,Sarykemer
106,Vermont,471,34,277422,Caen
107,Westport,353,21,554800,Pitalito
108,Westend,197,83,455534,Piraju
109,Caliangt,47,81,464073,Dajie
110,Walton,112,10,701678,Nurota Shahri
111,Eastlawn,517,41,979908,Shashūbay
112,Rowland,634,20,550109,Toyokawa
113,Ilene,46,25,458647,Barayong
114,Hudson,527,20,129345,Ciganaria
115,International,181,54,382600,Georgiyevskaya
116,Almo,578,28,738272,Qingshanhu
117,Marcy,156,23,917453,Mino
118,6th,516,5,901835,Ndungu
119,Commercial,606,32,161318,Jiangtian
120,Hayes,654,72,390584,Vila Nova de Milfontes
121,Nova,48,82,113886,Shilin
122,Talmadge,501,68,952206,Xi’an
123,Bay,473,77,294650,Naushahro Fīroz
124,Weeping Birch,765,69,794853,Itoigawa
125,Banding,612,69,355431,Banjeru
126,Merry,374,47,625730,Adolfo Lopez Mateos
127,Towne,748,92,997114,Kanchanaburi
128,Scoville,11,1,244789,Santa Ana
129,Mosinee,615,58,560248,Itatuba
130,Armistice,264,89,773619,Sendung
131,Helena,738,100,706439,Hexi
132,Graceland,74,84,235054,Alfortville
133,Lillian,102,55,251399,Maoping
134,Chive,622,2,169716,Estancia
135,Nelson,343,43,340743,Mozzozzin Sur
136,Kenwood,395,85,195819,Apaga
137,Texas,167,34,503393,Szeged
138,Sugar,135,76,658154,Orlovat
139,Twin Pines,748,6,168005,Oskarshamn
140,Roxbury,627,32,184661,Puerto Francisco de Orellana
141,Cambridge,553,87,231526,Bluefields
