usluga_id,nazwa_uslugi,cena_uslugi
1,Piptocarpha tetrantha Urb.,55
2,Abronia turbinata Torr. ex S. Watson,100
3,Kyllinga gracillima Miq.,10
4,Erysimum menziesii (Hook.) Wettst. ssp. eurekense R.A. Price,5
5,Eucalyptus perriniana F. Muell. ex Rodway,55
6,Campylopus introflexus (Hedw.) Brid.,25
7,Fragaria ×bringhurstii Staudt,5
8,Pinus pungens Lamb.,25
9,Artemisia arctica Less. ssp. comata (Rydb.) Hultén,30
10,Fimbristylis tristachya R. Br.,5
11,Cryptantha nevadensis A. Nelson & Kennedy var. nevadensis,25
12,Tabebuia rosea (Bertol.) DC.,30
13,Diplotomma ambiguum (Ach.) Flagey,10
14,Paspalum notatum Flueggé var. notatum,50
15,Eriogonum lagopus Rydb.,50
16,Galeandra beyrichii Rchb. f.,55
17,Dichanthelium leibergii (Vasey) Freckmann,10
18,Acacia doratoxylon A. Cunn.,100
19,Symphyotrichum ericoides (L.) G.L. Nesom,10
20,Gratiola viscidula Pennell,25
21,Parmotrema A. Massal.,30
22,Rubus parlinii L.H. Bailey,55
23,Oxalis caerulea (Small) R. Knuth,25
24,Chrysophyllum cainito L.,55
25,Leptogium rivale Tuck.,25
26,Vezdaea stipitata Poelt & Dobbeler,100
27,Krameria erecta Willd. ex Schult.,25
28,Gyrostomum Fr.,100
29,Pilophorus fibula (Tuck.) Th. Fr.,10
30,Rolandra Rottb.,30
31,Galium serpenticum Dempster ssp. puberulum (Piper) Dempster & Ehrend.,55
32,Carex praeceptorum Mack.,25
33,Tauschia kelloggii (A. Gray) J.F. Macbr.,5
34,Graphis caesiella Vain.,100
35,Acacia parvipinnula Tindale,55
36,Papaver glaucum Boiss. & Hausskn.,10
37,Romulea rosea (L.) Eckl.,25
38,Dirinaria picta (Sw.) Clem. & Schear,50
39,Cytisus scoparius (L.) Link var. scoparius,25
40,Dodecatheon hendersonii A. Gray,55
41,Peumus Molina,50
42,Eriogonum subreniforme S. Watson,30
43,Leucaena esculenta (Sessé & Moc.) Benth.,55
44,Osteospermum L.,5
45,Tradescantia wrightii Rose & Bush,100
46,"Eleocharis parvula (Roem. & Schult.) Link ex Bluff, Nees & Schauer",55
47,Gaudinia P. Beauv.,55
48,Symphyotrichum bahamense (Britton) G.L. Nesom,100
49,Atriplex truncata (Torr. ex S. Watson) A. Gray,30
50,Scutellaria incana Biehler,5
51,Centaurea trichocephala M. Bieb. ex Willd.,10
52,Carex ×connectens Holmb.,10
53,Cordylanthus capitatus Nutt. ex Benth.,25
54,Triosteum aurantiacum E.P. Bicknell var. aurantiacum,30
55,Ambrosia dumosa (A. Gray) Payne,55
56,Enceliopsis (A. Gray) A. Nelson,10
57,Calceolaria L.,5
58,Philonotis fontana (Hedw.) Brid. var. americana (Dism.) Flow.,5
59,Delphinium bicolor Nutt.,100
60,Camissonia tanacetifolia (Torr. & A. Gray) P.H. Raven ssp. quadriperforata P.H. Raven,10
61,Rubus exeter L.H. Bailey,30
62,Monardella crispa Elmer,30
63,Senna hirsuta (L.) Irwin & Barneby var. glaberrima (M.E. Jones) Irwin & Barneby,10
64,Alnus viridis (Chaix) DC. ssp. crispa (Aiton) Turrill,10
65,Hyparrhenia dregeana (Nees) Stent,55
