wizyta_id,data_wizyty,pracownik_id,rezerwacja_id,kosmetyki_id,sprzet_id,platnosci_id
1,11-Jun-2019,979,145,515,931,251
2,21-Jan-2019,431,842,81,731,685
3,01-Nov-2020,175,333,616,827,113
4,24-Mar-2019,208,519,94,178,647
5,24-Jul-2021,504,968,721,821,591
6,17-Jan-2020,730,348,584,16,333
7,16-Apr-2020,409,646,462,676,614
8,16-Dec-2018,613,713,556,198,801
9,05-Nov-2019,473,27,344,858,698
10,26-Apr-2018,868,370,811,654,377
11,14-Sep-2018,952,374,388,70,189
12,26-Jan-2019,894,125,624,537,195
13,02-Oct-2021,69,147,877,595,354
14,07-Jan-2020,381,6,23,579,37
15,18-Sep-2018,768,177,788,666,100
16,31-Dec-2021,123,49,93,591,832
17,14-Nov-2019,854,208,330,780,699
18,21-Mar-2018,409,504,339,248,289
19,07-Jan-2021,223,625,405,313,264
20,23-May-2022,365,654,508,272,220
21,03-Dec-2021,939,286,770,333,984
22,09-Jul-2019,172,342,657,900,739
23,13-Feb-2022,181,20,97,903,667
24,30-Nov-2021,147,371,621,936,987
25,06-May-2020,889,473,425,424,676
26,27-May-2020,722,712,104,407,863
27,08-Jun-2020,512,118,265,246,830
28,13-Jan-2022,872,348,373,18,726
29,30-May-2021,141,40,806,457,844
30,09-Jan-2019,237,322,331,728,624
31,05-Jul-2019,748,49,62,453,568
32,11-Jul-2018,549,179,403,28,438
33,07-Jun-2019,739,238,304,457,861
34,30-Nov-2019,584,320,470,385,449
35,09-Jun-2019,716,414,46,296,480
36,25-Jul-2021,512,199,548,158,213
37,12-Sep-2018,446,471,649,412,128
38,14-Apr-2022,220,727,666,627,915
39,14-Feb-2020,511,4,803,835,57
40,02-Oct-2019,190,314,306,279,512
41,08-Mar-2019,789,857,970,953,705
42,23-Feb-2020,605,965,194,529,110
43,01-Nov-2020,460,752,711,219,257
44,16-Nov-2019,599,379,521,981,274
45,29-Jun-2018,722,121,891,231,777
46,16-Jun-2018,972,662,679,408,949
47,26-Feb-2021,383,889,998,794,417
48,25-Dec-2018,157,556,769,918,261
49,02-Aug-2020,733,734,152,347,134
50,10-Dec-2020,903,454,606,133,755
51,26-Nov-2021,848,463,12,118,503
52,25-Mar-2022,761,975,546,843,362
53,30-May-2018,86,184,829,3,183
54,01-Oct-2019,340,479,368,546,69
55,20-Dec-2020,996,130,861,439,614
56,11-Jul-2018,730,665,676,822,863
57,13-May-2018,950,294,552,264,644
58,23-Oct-2020,570,88,628,725,997
59,03-Aug-2020,725,591,681,784,348
60,16-Jun-2021,789,542,566,206,54
61,30-Sep-2020,293,725,530,369,176
62,05-Sep-2020,859,689,456,882,800
63,12-Oct-2020,9,742,654,241,970
64,18-May-2021,456,345,564,304,586
65,03-Sep-2019,763,126,206,659,595
66,19-Dec-2020,967,972,744,840,488
67,04-Jan-2022,688,312,408,866,570
68,28-Oct-2020,985,968,253,775,803
69,15-Sep-2019,249,269,910,640,692
70,21-Oct-2019,568,975,70,788,534
71,26-Apr-2021,607,129,383,877,377
72,07-Feb-2018,423,542,845,186,619
73,02-Jun-2019,132,353,622,15,931
74,04-Nov-2019,85,746,391,153,691
75,22-Dec-2020,371,1000,222,281,871
76,10-Sep-2018,374,321,340,34,524
77,01-Jul-2018,924,886,195,905,481
78,22-Feb-2019,196,781,464,40,885
79,16-Apr-2019,732,958,101,984,892
80,28-Dec-2021,275,318,197,426,348
81,17-Aug-2018,587,901,506,193,196
82,03-May-2018,561,479,363,243,597
83,19-Apr-2018,333,970,9,315,720
84,28-Mar-2019,100,680,741,299,756
85,26-May-2019,690,434,799,880,856
86,11-Oct-2019,240,150,171,699,647
87,03-Jan-2021,296,258,150,34,390
88,02-Nov-2020,606,8,583,54,254
89,26-Apr-2021,245,141,697,977,322
90,11-Aug-2021,445,371,942,638,586
91,08-Mar-2022,621,868,887,34,492
92,29-Dec-2020,441,165,504,632,636
93,17-May-2021,516,794,551,646,377
94,14-Sep-2021,479,775,881,412,649
95,05-Sep-2018,102,367,227,184,218
96,20-Aug-2021,493,797,562,333,433
97,12-Jan-2022,77,209,656,50,865
98,22-Jan-2020,498,912,46,551,117
99,16-Nov-2018,860,948,853,472,502
100,19-Jun-2021,422,983,569,777,808
101,18-Jun-2020,900,313,483,300,752
102,20-Mar-2018,857,915,408,560,302
103,29-Jun-2021,431,172,773,849,970
104,19-Sep-2020,622,178,857,950,440
105,31-Mar-2021,532,635,286,464,673
106,16-May-2018,923,117,56,102,892
107,20-Oct-2020,728,463,325,966,270
108,22-Apr-2019,168,670,252,592,557
109,28-Apr-2020,697,617,843,218,536
110,03-May-2018,278,176,595,837,986
111,25-Oct-2019,988,330,97,467,294
112,19-Oct-2020,988,558,365,436,356
113,28-Jul-2020,789,422,875,706,63
114,21-Jun-2020,905,114,716,255,462
115,17-Aug-2021,531,498,341,90,166
116,07-Apr-2021,967,122,208,362,254
117,15-Apr-2022,850,784,713,938,931
118,13-Jan-2019,815,523,569,887,637
119,06-Oct-2021,866,196,283,590,784
120,06-Aug-2020,458,659,481,153,592
121,15-Jun-2019,867,445,280,576,337
122,30-Jan-2020,807,328,515,345,897
